Mouza Name,Total Settlements,Total Area,Cultivated Area,Uncultivated Area,Wheat,Rice,Cotton,Sugarcane,Maize,Pulses,Orchard,Vegetables,Canal,River,Tubewell/Well,Ravine,Spring/Stream,Arid,Flooding Torrent,Others,Canal Water,Total Number of Water Courses,Number of Improved Water Courses,Vet Centre Dispensary,If not than Distance,Private Facility,If not than Distance,Mobile Vet Dispenser,Lifestock,If not than Distance,Grains,If not than Distance,Fruits,If not than Distance,Vegetables,If not than Distance,Status,If not than Distance,Fertilizers,If not than Distance,Seeds,If not than Distance,Pesticides,If not than Distance,ADBP,Coop Bank,Commercial Bank,Micro Finance Bank,NGO,RSP,Govt.,Broker,Others,ADBP,Coop Bank,Commercial Bank,Micro Finance Bank,NGO,RSP,Govt.,Broker,Others,Retail Market,Service,Agriculture,Trade,Industry,Personal Business,Overseas Employment,Labour,Service,Agriculture,Trade,Industry,Personal Business,Overseas Employment,Labour,Large Scale,Medium Scale,Small Scale,Cottage Industries,None,Govt. Piped Supply,Tubewell,Well,Hand Pump,Personal Electric Pump,Canal/River,Spring/Stream,Tank/Pond,Others,Taste of Drinking Water,Filtration Facility for Drinking Water,Toilet Facility in Majority of Houses,Bricked Streets in Mouza,Bricked Drains,Sewerage System,Status,If not than Distance,Sui Gas,LPG,Kerosene Oil,Wood,Coal,Animal Dung Cake,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance
33/D.B.,1,1178,998,126,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,3,1,No,33,No,33,No,No,33,No,33,No,33,No,33,No,33,No,33,No,33,No,33,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,Some,Some,Some,Mostly,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,No,1,No,68,Yes,0,Yes,0,Yes,0,No,33
34/D.B.,1,1136,1060,24,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,4,1,No,33,No,33,Yes,No,33,No,33,No,33,No,33,No,33,No,33,No,33,No,33,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,Some,None,Some,Some,Mostly,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,No,1,No,68,Yes,0,Yes,0,Yes,0,No,33
35/D.B.,1,1355,1197,116,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,3,1,No,35,No,35,Yes,No,35,No,35,No,35,No,35,No,26,No,35,No,35,No,35,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,Some,Mostly,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,No,3,No,70,Yes,0,Yes,0,Yes,0,No,35
38/D.B.,1,1345,1158,150,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,4,0,No,25,Yes,0,No,No,25,No,25,No,25,No,25,No,25,No,25,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,Some,Some,Some,Some,Some,Mostly,Some,Some,Some,Some,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,Some,None,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,65,Yes,0,Yes,0,No,1,No,25
39/D.B.,1,1085,896,154,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,4,0,No,25,Yes,0,No,No,25,No,25,No,25,No,25,No,25,No,25,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,Some,Some,Some,Some,Some,Mostly,Some,Some,Some,Some,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,65,Yes,0,Yes,0,Yes,0,No,25
40/D.B.,3,1350,1124,192,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,1,0,No,25,No,25,Yes,No,25,No,25,No,25,No,25,No,25,No,25,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,Some,Some,Some,Some,Some,Mostly,Some,Some,Some,Some,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,Some,None,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,65,Yes,0,Yes,0,Yes,0,No,25
Chak 36/D.B.,1,1574,1365,162,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,4,0,Yes,0,Yes,0,Yes,No,25,No,25,No,25,No,25,No,25,Yes,0,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,Some,Some,Some,Some,Some,Mostly,Some,Some,Some,Some,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,Some,None,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,64,Yes,0,Yes,0,Yes,0,No,24
Chak 37/D.B.,1,800,604,167,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,4,0,No,23,No,23,Yes,No,23,No,23,No,23,No,23,No,23,Yes,0,No,23,No,23,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,Some,Some,Some,Some,Some,Some,Mostly,Some,Some,Some,Some,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,Some,None,None,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,63,Yes,0,Yes,0,Yes,0,No,23
Utterai Janubi,4,32722,22993,9448,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,120,18,No,2,No,2,No,No,2,No,2,No,2,No,2,No,2,No,2,No,2,No,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,None,None,None,Some,Some,Some,None,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,Mostly,Mostly,Some,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,2,Yes,0,Yes,0,Yes,0,No,2
Utterai Shumali,1,3821,3651,168,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,3,0,No,8,No,7,No,No,7,No,7,No,7,No,7,No,7,No,7,No,7,No,7,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,None,Mostly,None,None,None,None,Some,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Brackish,No,Open Place,None,None,None,Some,0,No,No,No,Yes,No,Yes,No,7,No,45,Yes,0,Yes,0,No,7,No,7
